County	District	SupCon	MPP	SupCon_Text	MPP_Text
Ventura	BriggsElementary	$442,977	12.41%	 Briggs Elementary School District has over 80% unduplicated pupils in the LCFF subgroups. In school year 2014/2015 the supplemental/concentration funding will be $442,977.00. The funds will be used to assist in purchasing common core intervention materials and diagnostics assessments, tutoring sessions, Summer Academy, transportation van, parent materials, time and services required to support parent and student engagement outside of the regular school day (night classes, meetings, childcare), and payment for counseling support services to address the social emotional needs of unduplicated students. D. C	 By increasing time for certificated and qualified personnel to provide intervention or acceleration of targeted subgroups and by improving access to technology, school resources, parent outreach, students in subgroups will increase their academic achievement. By focusing expenditures on improving school connectedness for parents and students, the district students will begin to close the achievement gap between other districts with lower populations of our targeted subgroups. Services for students within the subgroups should increase by about 12.41%. The expenditures specified for the subgroups meet or exceed the 12.41% threshold. N
Ventura	ConejoValleyUnified	$3,713,151	2.82%	 In 2014-15, Supplemental Grant funding is $3,713,151. All of the projected increase in 2014-15 Supplemental Grant funds will be distributed directly to school sites. None of the additional funds will be spent at the District office level. Supplemental Grant funds will be provided to school sites using the following formula: $10 per student for all students $40 per student for identified English learners, low income, redesignated English fluent and foster students (targeted students) In order to provide Supplemental Grant funds sufficient to support an academic intervention program at every school, regardless of the population of targeted students, $10 per student for all school site students will be provided directly to school sites. In addition, $40 per student for all school site identified targeted students will be provided to generate larger sums of Supplemental Grant funds at schools with larger populations of targeted students. School sites will use these funds to provide focused, academic intervention programs for all students identified as falling below grade level standards in ELA and Math, utilizing the District-adopted RtI model. Implementing comprehensive, school- wide academic intervention programs for struggling students utilizing a research-based RtI model has been demonstrated to be highly effective in improving student academic outcomes. D. C	 The minimum proportionality percentage (MPP) is 2.82%. One hundred percent of the projected increase in 2014-15 Supplemental Grant funds will be distributed directly to school sites utilizing the formula described in Section 3-C. The formula provides a base of Supplemental Grant funds for schools in proportion to overall school size, but the great majority of increased Supplemental Grant funds is provided based upon a school's population of targeted students. These funds will be used exclusively to provide focused academic intervention programs to students identified as falling below grade level academic standards, utilizing the District-adopted, researched-based RtI model. Based upon Spring 2013 District CST assessment results, approximately 51.9% of all English learner students and 47.8% of all low Income students required academic intervention, while approximately 15.9% of non-targeted students required intervention. The District does not have this data for the foster student subgroup. The overwhelming majority of increased Supplemental Grant funds will be expended on increased academic intervention services for targeted students. In future years, as Supplemental Grant funds continue to increase, funds will continued to be directed to school sites, and in addition academic intervention, will be used to provide social/emotional intervention services to targeted students, and to provide targeted students with expanded opportunities for academic enrichment and accelerated learning. N
Ventura	FillmoreUnified	$2,100,000	11%	 For the 2014-15 school year, Fillmore Unified School District (FUSD) will receive an additional estimated $2,100,000 in supplemental and concentration funding. The funding will be directed on a district wide basis toward increasing certificated and classified staffing for newly targeted or improved programs and services Â_ Teachers on Special Assignment (TOSAs) serving all grade levels to assist in CCSS curriculum development plus instructional and teacher support; authorized teachers for specific EL instruction including staffing for upcoming dual language, newcomer and long-term EL instructional programs ; reading specialists at the elementary grade levels; increased counseling services and staffing for at-risk and foster youth; improved and increased technology in the classroom and sites to meet uniform NETS and CTAP standards; ongoing PD for CCSS, the new ELD standards, implementation of NGSS, multiple new or ongoing program participation with WRITE, GLAD, Brainware Safari, Writing Task Force, and other instructional strategies Â_ scaffolding, differentiated instruction, checking for understanding, etc. Â_ focused on increasing measurable academic achievement for all students. D. C	 For the 2014-15 schoolyear, an 11% increase in services for unduplicated students will occur in comparison to those provided to all pupils in the LCAP year. These increased or improved services will address goals, actions and services that wereprioritized by the FUSD stakeholder groups and recorded in the current plan (including additionally identified items that may be considered for future reference and later selection). In order to achieve an 11% increase in district wide services for LI, EL and FY students, FUSD will be hiring staff, purchasing new programs, and providing PDthat focus on improving student achievement for these significant subgroups. Actions include hiring authorized teachers to implement a new dual language instruction program at the elementary level, EL authorized teachers to provide appropriate classroom instruction and developing RTI2 at the secondary level, IAs to help with newcomer and long-term ELs; purchasing new programs Â_ In the USA, English 3D, Ramps to Reading, WRITE, GLAD, Brainware Safari - and providing related ongoing PD. Formal services will be provided to increase EL, LI and FY student representation in AP, honors and college prep level courses; and before, during and after school academic, computer literacy and EL support will be designed to serve student subgroups in addition to providing parent education - language instruction and computer literacy for targeted subgroups. Additional counseling services are also planned including dedicated responsibilities for FY students Â_ monitoring progress, providing advisement and acting as a school-home-agency liaison. N
Ventura	HuenemeElementary	$7,200,000	13.66%	 The majority of students attending schools in the Hueneme Elementary School District fit into the subgroups of English Language Learners (64%) and socio-economically disadvantaged (83%) students. Although the district serves foster youth, they represent a very small percentage of our total student population. Based on our student composition, the District has chosen to use and allocate the LCAP funding on a districtwide basis. The District will receive approximately $7,200,000 in supplemental and concentration grant funding in 2014-2015. A review of District needs and metrics, along with input from key stakeholders, helped the District LCAP Committee determine that spending dollars for the following services would be the most effective use of supplemental grant funds. These include counseling support, parent education programs, supplemental intervention programs and resources, extended learning opportunities, and enhanced campus security. Our review of research and best practices for student achievement indicates students require this additional support, and that educating parents also benefits students because they become engaged in their children's education and can help motivate them to succeed. D. C	 In meeting the Minimum Proportionality Percentage (MPP), the Hueneme Elementary School District will be increasing and/or improving services for unduplicated students by 13.66%. The district will accomplish this goal by (1) lowering class size in grades TK-3; (2) increasing the number of English learner support teachers, technology teachers, music/band teachers, school counselors, paraprofessionals and assistant principals; and (3) providing new instructional materials and technology for the implementation of the common core state standards. Additional counseling services will be added to all elementary and junior high schools with a focus on supporting the social-emotional needs of students, and parent and student engagement. The counselors will serve as the school liaison for foster youth. The unique needs of these students will be improved through the development and implementation of comprehensive support services. HESD operates many large elementary schools. In order to increase safety, supervision and support services, an assistant principal will be added to schools having more than 700 students. This will also allow the school principal to spend time in classrooms supporting teachers with the implementation of the common core state standards. As the common core state standards are implemented, the number of individual technology devices available to students will be increased. A new district technology teacher will provide training for teachers, paraprofessionals and parents. HESD will improve services to our English Learners by providing professional development on the English Language Development (ELD) Standards. Three new District English learner support teachers will work with classroom teachers in designing, implementing and monitoring the ELD program. Adding three new teachers doubles the number of District English learner support teachers. Extended learning opportunities will be provided for English learners. These opportunities include a summer boot camp and after school homework help. Bilingual instructional assistants will provide intervention for English learners during the school day. HESD will provide additional support staff, such as health clerks, at schools to increase the engagement of low income parents in our schools and district. The new health clerks will be a point of contact for support for parents. The addition of health clerks will also allow nursing services to be increased for low income students. N
Ventura	MesaUnionElementary	$145,503	3.69%	 Supplemental grant funds in 2014-2015 will total $145,503. Mesa Union is expending these additional funds in 2014-2015 to increase academic performance among all students, with particular emphasis on low income, foster youth and English learners. The district also is using funds to increase student safety and parent participation. Supplemental funding is targeted to serve low income, foster youth and English learners through professional development and extended day and year activities. Supplemental funds also will be used to support parent involvement initiatives that promote learning at home. D. C	 The Mesa Union School District Local Control Accountability Plan (LCAP) streamlines services to support learning for all students, with particular attention to English learners, low-income students and foster youth. The plan's underlying theory of action is that the staff continuously will improve its capacity to serve students through strategic professional learning, additional time and individualized instruction based on student achievement data (Miles and Frank, 2008). Staff also will coordinate activities that draw more families, especially families of these target groups, into the daily life of the school. Expenditures align to these ends. Services for students within the subgroups will be increased or improved by about 3.69%, compared to all students. Expenditures specified for targeted subgroups meet or exceed the 3.69% threshold. N
Ventura	MoorparkUnified	$1,500,000	3.56%	 Moorpark Unified School District will receive $1.5 million in Supplemental Local Control Funding Formula Funds beginning in 2014-15. This amount will increase to approximately $1.7 million in 2015-16 and $1.4 million in 2016-17. (These funds include $625,000 in previously awarded EIA funds.) These funds are calculated based on the number of English learners, students identified as low income, and foster youth. MUSD will offer a variety of programs and supports specifically for English learners, low income students and foster youth. These include: 2 ELD TOSAs ($175,000), supporting implementation through coaching and modeling of ELD lessons, increased site counseling services (3 FTE - $300,000), and AVID and IDEAS. District services and programs that are aligned with LCAP goals that serve all students ($90,000 to sites): intervention counseling at Moorpark HS and all middle schools (1 FTE - $104,000), RTI teachers, extended day ELD services ($48,000), reduced class sizes at elementary schools and secondary (2 FTE - $144,000), CHAMPS positive behavior support and restorative practices ($15,000), . District-wide implementation of these practices will not only have an impact on learning environment and the climate of the school as a whole but will also have a greater positive impact on our targeted subgroups with a focus on our LTEL students. The district recognizes that while these funds are generated in order to serve the focus students, some services may, should the need arise, be utilized for students outside the focus subgroups. While the many of students served will be focus students, there are other students in need that the district cannot ignore such as our Special Education students. By providing the services identified without limitations, MUSD will best serve all students. The full list of expenditures is aligned with the goals of the MUSD Local Control and Accountability Plan and addresses the needs of our district's English learners, low Income students and foster youth. School staff and School Site Councils will align their Single School Plans for Achievement to the goals and actions of the adopted Local Control Accountability Plan. D. C	 Moorpark Unified School District - Proportionality Calculation 2013-14 2014-15 2015-16 2016-17 Estimated Total LCFF Funding 42,766,332 45,696,707 49,052,558 50,915,002 Estimated Base Grant 42,972,994 46,122,977 48,366,422 Estimated Supplemental Grant Funding 1,529,893 1,735,761 1,354,760 Minimum Proportionality Percentage 3.56% 3.76% 2.80% MUSD will provide an additional 3.56% services for all unduplicated student groups. The District will focus on the needs of our LTELs through improvement of our EL/RFEP services. Professional development on the English Language Development (ELD) Standards and implementation of them will include site administrators, teachers, and paraeducators who work with English Learners. Through this targeted professional development MUSD staff will develop an understanding of the ELD standards leading to changes in improved ELD classroom instruction and/or courses for students. The unique needs of these students will be improved through the development and implementation of comprehensive support services. Engagement of parents of our identified stakeholder students to support their students is another key aspect of the 201415 LCAP. MUSD will focus on increasing parental participation in programs for English Learners and low SES. This may include offering additional parent education and involvement programs at all schools. MUSD will also provide additional Spanish bilingual support staff at some schools to increase the engagement of Spanish speaking parents in our schools and district. MUSD has not previously tracked Foster Youth students. Beginning with the 20142015 school year, we will improve our partnership with stakeholders who work directly with Foster Youth, and will provide improved services by developing and implementing a system for identifying and tracking our Foster Youth enrolled in the school district. N
Ventura	MupuElementary	$53,086	4.97%	 Mupu Elementary has over 55% unduplicated pupils in the LCFF subgroups. In School Year 2014/15, Supplemental/Concentration funding will be about $53,086, or about 4.97% of total LCFF Funding. The funds expended from the Supplemental and Concentration funding sources align with all the goals of the LCAP. Funds are to assist in the purchase of intervention materials and services, to pay for services and materials required to promote parent and student engagement, and to pay for services to provide counseling for students who require support. D. C	 By increasing time for certificated and qualified personnel to provide intervention or acceleration of targeted subgroups and by improving access to technology and digital resources, students in those subgroups will increase their academic achievement. By focusing expenditures on improving school connectedness for parents and students, students and parents will improve their understanding of what proficient achievement looks like and realize that proficiency is within their reach. Services for students within the subgroups will be increased or improved by 4.97%, compared to all students. The expenditures specified for the subgroups meet or exceed the 4.97% threshold. N
Ventura	OakParkUnified	$312,956	1%	 Oak Park USD has less than 9% unduplicated students who are low income, foster youth, and English learner pupils. We will receive $312,956 for the supplemental and concentration grant funding. The cost of these additional services exceeds this amount and will be supported in part by the supplemental dollars for our unduplicated count and in larger measure by the General Fund. Each child is a valued member of the student community and his or her success is a top priority. Because there is not a concentration of these students at any one school, the District provides Literacy aides, EL aides, Math aides at all sites to give additional instructional support to these students as needed. Support fluctuates on a site-by-site basis determined by the level of actual needs as identified by test scores, teacher input and other data. D. C	 The minimum proportionality percentage for Oak Park Unified School District is 1%. Increased English Language aides and additional training to serve eligible students, foster youth liaison, will secure services for the appropriate sub groups. We have found that this is the most effective use of funds, and is evidenced by the District's long history of high test scores and college-ready achievement among all its students, regardless of economic, foster, or English learner status. N
Ventura	OceanView	$1,300,000	16%	 Calculated on the basis of the number and concentration of low income, foster youth, and English learner pupils as determined pursuant to 5 CCR 15496(a)(5), OVSD minimum proportionality percentage is 16%. The amount of LCFF funds expected to be generated by unduplicated students is estimated to be $1.3 million. Our percent of unduplicated pupils is 84%, and all sites exceed 55%, so we are expending funds districtwide. The districtwide services are the most effective use of the supplemental and concentration grant increase for unduplicated students in meeting the states priorities. Since these students are 84% of the school enrollment. they will benefit most from actions and services that improve the entire school and district program and related services which are designed to meet the 8 state priorities, and the district goals. How districtwide services are directed to meeting the district goals for the unduplicated students in the state priority areas st English learner and low income students will benefit from acquiring 21 century skills, having a safe learning environment where they feel engaged and connected, where they have high quality materials, well maintained facilities, well trained educators, and involved parents. The districtwide actions and services described in this plan support those goals. Services and Programs funded by state unrestricted funds Ipad leases: Intervention Specialist Teachers and Assistants salary and benefits: Bilingual Teachers salary and benefits: Salary and Benefits for Teachers needed to reach target class size: Salary and Benefits for Teachers needed for double block periods: Salary and Benefits for Bilingual counselor D. C	Calculated on the basis of the number and concentration of low income, foster youth, and English learner pupils as determined pursuant to 5 CCR 15496(a)(5), OVSD minimum proportionality percentage is 16%. The amount of LCFF funds expected to be generated by unduplicated students is estimated to be $1.3 million. The proportionality percentage is met by improving services in a districtwide manner. Our percent of unduplicated pupils is 84%, and all sites exceed 55%, so we are expending funds districtwide. The districtwide services are the most effective use of the supplemental and concentration grant increase for unduplicated students in meeting the states priorities. Since these students are 84% of the school enrollment. They will benefit most from actions and services that improve the entire school and district program and related services which are designed to meet the 8 state priorities, and the district goals. How the services for unduplicated pupils are above and beyond what is provided for all pupils English learner and low income students will benefit from acquiring 21 st century skills, having a safe learning environment where they feel engaged and connected, where they have high quality materials, well maintained facilities, well trained educators, and involved parents. The districtwide actions and services described in this plan support those goals. The services for unduplicated students ( low income pupils, foster youth and English learners) are Services and Programs funded by state unrestricted funds Ipad leases: Intervention Specialist Teachers and Assistants salary and benefits: $830,000 each year (partly funded by Title I also) Bilingual Teachers salary and benefits: Salary and Benefits for Teachers needed to reach target class size: Salary and Benefits for Teachers needed for double block periods: Salary and Benefits for Bilingual counselor Parent Coordinator: Services from other funding sources are GLAD teacher trainer salary and benefits - Federal Title III funds to benefit EL students Common Core Teacher trainer salary and benefits - Federal Title II funds
Ventura	OjaiUnified	$592,493	3.44%	 The district received $592,493 of increased LCFF supplemental grant funds based upon the number and concentration of low income, foster youth, and English learner pupils. As a result of stakeholder input, the District is providing smaller classes, targeted instruction, after-school academic support, additional counseling, instructional materials and services, and teacher professional development. In addition, the use of the supplemental funds on a district-wide basis is the most June 24, 2014 of 27 effective use of the funds to meet the state's eight priority areas and the mutual goals of the district and stakeholders for the unduplicated count of low income, foster youth, and English Learner. D. C	 Ojai Unified School District's percentage by which services for low income, foster youth, and English learner that must be increased or improved as compared to the services provided to all students is 3.44%. In order to meet this proportionality percentage, the District is providing smaller classes, targeted instruction, after-school academic support, additional counseling, instructional materials and services, and teacher professional development. The District is ensuring increased and improved services for the unduplicated count of low income, foster youth, and English learners as compared to the services provided to all pupils. N
